device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Canvas Magnus A117 ,5.0,,5.6,2.9,0.3,,"Android OS, v4.2 (Jelly Bean)",1,12,1,2,4.0,1.0,32,2000,,Cortex-A7,4.0,Mediatek MT6589T,1.5,PowerVR SGX544MP2,"15,079"
Micromax Canvas Fire 2 A104 ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4.0,1.0,32,1900,,,4.0,,1.3,,"7,999"
Micromax Amaze 4G ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,32,2230,,Cortex-A53,4.0,,1.2,Adreno 306,"6,400"
Micromax Canvas Win W121 ,5.0,,,,,,Microsoft Windows v8.1,1,8,1,2,8.0,1.0,32,2000,Snapdragon 200,Cortex-A7,4.0,Qualcomm MSM8212 ,1.2,Adreno 302,"4,804"
Micromax Q336 ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,1,2,4.0,0.5,32,1700,,,4.0,,1.2,,"4,500"
Micromax Canvas Blaze 4G Plus ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,32,1750,MT6735M,Cortex-A53,4.0,MediaTek,1.0,Mali-T720,"3,999"
Micromax Supreme ,3.5,,,,,,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,4.0,0.5,32,1200,,,4.0,,1.2,,"2,190"
Micromax X920 ,2.8,,,,,,,1,0.3,2,0+3,,,32,1450,,,,,,,"1,438"
Micromax X802 ,2.4,,,,,,,1,0.3,0,,,,8,1750,,,,,,,"1,300"
Micromax X610 ,2.4,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,020"
Micromax X701 ,2.4,,,,,,,1,0.3,0,,,,8,1000,,,,,,,898
Micromax X372 ,1.8,,,,,,,1,0.08,0,,,,,800,,,,,,,775
Micromax Canvas Nitro A310 ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,13,1,5,8.0,2.0,32,2500,,Cortex-A7,8.0,Mediatek MT6592,1.7,Mali-450MP4,"8,990"
Micromax Canvas XL2 A109 ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4.0,1.0,32,2500,,Cortex-A7,4.0,Mediatek MT6589M,1.2,PowerVR SGX544,"5,695"
Micromax Canvas Selfie 2 ,5.0,,,,,,"Android OS, v5.0 (Lollipop)",1,5,1,5,8.0,1.0,32,2000,,Cortex-A7,4.0,,1.3,Mali-400MP2,"5,599"
